sale_date,sale_total,sale_month,sale_year,sale_day,sale_week
2021-01-31,6954400.0,32,64672,397,531
2021-02-28,4087850.0,56,56588,401,180
2021-03-31,4001000.0,78,52546,444,285
2021-04-30,5269000.0,112,56588,454,426
2021-05-31,5828000.0,150,60630,475,582
2021-06-30,8530000.0,174,58609,454,693
2021-07-31,21810000.0,280,80840,722,1138
2021-08-31,35878500.0,1456,367822,3117,5969
2021-09-30,16218000.0,1935,434515,3127,7914
2021-10-31,17627000.0,720,145512,961,2943
2021-11-30,15559000.0,473,86903,701,1971
2021-12-31,35908000.0,900,151575,1407,3784
2022-01-31,15426000.0,45,90990,717,163
2022-02-28,9934000.0,58,58638,386,189
2022-03-31,11768600.0,87,58638,436,313
2022-04-30,13504000.0,168,84924,611,636
2022-05-31,11817000.0,340,137496,1349,1368
2022-06-30,12043000.0,312,105144,703,1234
2022-07-31,22344000.0,406,117276,929,1642
2022-08-31,18872000.0,360,90990,754,1480
2022-09-30,23405000.0,666,149628,1231,2753
2022-10-31,19192500.0,500,101100,807,2074
2022-11-30,15183000.0,418,76836,418,1715
